0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/725e780e-1b8d-4595-b826-41ec70febaea/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/39cee7a7-8bf6-4f8c-ad79-0dc44290f59b/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 54437
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/subject?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/entityType?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/39cee7a7-8bf6-4f8c-ad79-0dc44290f59b/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/725e780e-1b8d-4595-b826-41ec70febaea/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/3eb96999-a69e-439b-87c8-d40c6b1bef08/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/39cee7a7-8bf6-4f8c-ad79-0dc44290f59b/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/97ff5133-2c86-4347-9e81-b85170c21e6c/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/4029a010-2714-4b5f-8b24-8ab6275c554f/bundles?size=9999 HTTP/1.1" 200 330
