0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:52 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:52 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:52 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:49:49 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:49:49 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:49:58 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:49:59 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:03 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:03 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:28 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:28 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:28 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:28 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:28 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:28 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:42 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:42 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:45 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:45 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:45 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:50:45 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:18 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:18 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:18 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:18 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:22 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
